,cCFOPEntrada,cNaoGerarFinanceiro,cNaoGerarMovEstoque,cUnidade,codigo_local_estoque,nQtdeRecebida,cAtualizarAtuPre,cSitTribCOFINS,cTpCalcCOFINS,nAliqCOFINS,nBCCOFINS,nValCOFINS,cAdicionarNovo,cAssociarExistente,cCFOP,cCodigoProduto,cDescricaoProduto,cEAN,cIgnorarItem,cNCM,cUnidadeNfe,nIdItPedido,nIdItem,nIdProduto,nPrecoUnit,nQtdeNFe,nSequencia,vDesconto,vTotalItem,cCOFINSCusto,cFreteCusto,cICMSCusto,cICMSSTCusto,cIPICusto,cOutrosDespCusto,cPISCusto,cSeguroCusto,nAliqCredCOFINSCusto,nAliqCredPISCusto,nValorICMSSTCusto,cOrigem,cSitTribSN,nAliqCredSN,nCredSN,cCEST,cEnqIPI,cSitTribIPI,nValIPIDev,cCategoriaItem,vAproxTributosIt,cSitTribPIS,cTpCalcPIS,nAliqPIS,nBCPIS,nValPIS,cModBC,cSitTrib,nAliq,nBC,nValor,nValorDif,nValorOpProp,cNumFCI,cTpCalcIPI,nAliqIPI,nBCIPI,nValIPI,nIdPedido,nNumPedCompra
0,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.102,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.102,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.102,N,N,M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.102,N,N,M2,2202474859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.102,N,N,M2,2202474859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.102,N,N,M2,2202474859.0,507.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.102,N,N,M2,2202474859.0,507.37,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.102,N,N,M2,2202474859.0,507.37,N,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.102,N,N,M2,2202474859.0,507.37,N,01,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,,,,,,,,,,,,,,,,,,,,,,,,
46,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,,,,,,,,,,,,,,,,,,,,,,,
47,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,51,,,,,,,,,,,,,,,,,,,,,,
48,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,51,0.0,,,,,,,,,,,,,,,,,,,,,
49,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,51,0.0,2.01.01,,,,,,,,,,,,,,,,,,,,
50,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,51,0.0,2.01.01,2163.63,,,,,,,,,,,,,,,,,,,
51,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,51,0.0,2.01.01,2163.63,01,,,,,,,,,,,,,,,,,,
52,1.102,N,N,M2,2202474859.0,507.37,N,01,B,0.0,0.0,0.0,N,S,5.101,sw-20952A,"Porcelanato Peroba Mel Hd 16X100,7",7898631986120,N,6907.21.00,M2,2227612315.0,2227612315.0,2195567200.0,32.99,507.37,1.0,0.0,16738.13,N,N,N,N,N,N,N,N,7.6,1.65,0.0,0,400,3.02,89.69,10.031.00,999,51,0.0,2.01.01,2163.63,01,B,,,,,,,,,,,,,,,,,
